                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9536,                 1.5841,                 1.5944,                0.83976,                0.77158,                0.85176,                0.43223,                 1.6916,                 1.0503,                 1.5529,               0.070178,              0.0033136,              0.0033136
                      1,                  1.749,                 1.0318,                 1.4425,                0.86163,                0.79245,                 0.8629,                0.43423,                 1.7268,                0.96093,                  1.544,               0.039739,              0.0062082,              0.0062082
                      2,                 1.7311,                0.99439,                 1.4034,                0.84017,                0.80047,                 0.8599,                 0.4344,                 1.6716,                 1.0316,                 1.4642,              0.0088601,              0.0086629,              0.0086629
                      3,                 1.6999,                0.95229,                 1.3484,                  0.887,                0.83498,                0.90718,                0.49035,                 1.6232,                0.85127,                 1.4138,                0.00802,                0.00802,                0.00802
                      4,                 1.6693,                0.92083,                 1.3156,                  0.875,                0.83319,                0.89999,                0.49732,                  1.578,                0.85878,                 1.3736,                0.00802,                0.00802,                0.00802
                      5,                 1.6333,                0.91023,                 1.3341,                0.88227,                0.84134,                0.90748,                0.49669,                 1.5734,                0.84175,                 1.3657,                0.00736,                0.00736,                0.00736
                      6,                 1.6145,                0.87552,                 1.3256,                0.88997,                0.83942,                0.90775,                0.50992,                 1.5557,                0.80901,                 1.3458,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.6049,                0.85152,                 1.3072,                0.87678,                 0.8505,                  0.909,                0.49941,                 1.5844,                0.83973,                 1.3581,                0.00604,                0.00604,                0.00604
                      8,                 1.5835,                0.83129,                 1.2977,                0.88999,                0.85729,                0.91937,                0.52298,                 1.5379,                0.78253,                 1.3218,                0.00538,                0.00538,                0.00538
                      9,                 1.5703,                0.80844,                 1.2845,                0.90057,                0.85856,                0.92231,                0.52236,                 1.5271,                0.76227,                 1.3214,                0.00472,                0.00472,                0.00472
                     10,                 1.5545,                0.79662,                 1.2824,                0.89829,                0.85963,                0.92269,                0.52841,                 1.5146,                0.76026,                 1.3072,                0.00406,                0.00406,                0.00406
                     11,                 1.5439,                0.78527,                 1.2708,                0.90394,                0.86436,                0.92696,                0.52863,                  1.525,                0.73853,                  1.316,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.5292,                0.77071,                 1.2671,                0.90866,                0.87114,                 0.9306,                0.53795,                 1.4983,                0.72026,                 1.2935,                0.00274,                0.00274,                0.00274
                     13,                 1.5211,                0.76019,                 1.2528,                0.91027,                0.86841,                0.93041,                0.53827,                 1.4966,                0.71812,                 1.2889,                0.00208,                0.00208,                0.00208
                     14,                 1.5148,                0.74957,                 1.2495,                0.91018,                0.87444,                0.93297,                0.54284,                 1.4847,                0.71251,                 1.2797,                0.00142,                0.00142,                0.00142
